,model1,model2,phylum1,phylum2,jaccard_distance
2970,37,74,Bacteroidetes,Proteobacteria,0.4063272367770637
1468,17,22,Actinobacteria,Firmicutes,0.4063380281690141
1123,13,15,Actinobacteria,Actinobacteria,0.406822488945041
3142,40,63,Firmicutes,Firmicutes,0.40690589031821256
1945,22,99,Firmicutes,Firmicutes,0.4071661237785016
4133,60,64,Firmicutes,Firmicutes,0.40740740740740744
2333,28,40,Firmicutes,Firmicutes,0.40740740740740744
2627,32,56,Firmicutes,Firmicutes,0.40777385159010604
3197,41,59,Firmicutes,Firmicutes,0.4091223220456116
2394,29,30,Firmicutes,Firmicutes,0.40917431192660547
1101,12,80,Bacteroidetes,Bacteroidetes,0.40917905623787976
1340,15,61,Actinobacteria,Firmicutes,0.40959170447180815
4420,67,99,Firmicutes,Firmicutes,0.4100545124167171
776,9,22,Firmicutes,Firmicutes,0.4100817438692098
2868,35,99,Actinobacteria,Firmicutes,0.41033822590938096
688,8,25,Firmicutes,Firmicutes,0.4106122448979592
1937,22,91,Firmicutes,Firmicutes,0.41097818437719913
3093,39,74,Proteobacteria,Proteobacteria,0.4111767378464335
3455,45,91,Firmicutes,Firmicutes,0.4112
4006,57,60,Firmicutes,Firmicutes,0.41148964595858384
3960,56,57,Firmicutes,Firmicutes,0.41148964595858384
1878,22,32,Firmicutes,Firmicutes,0.4118881118881119
4513,70,99,Actinobacteria,Firmicutes,0.4119187950229207
4038,57,92,Firmicutes,Firmicutes,0.41192787794729546
785,9,31,Firmicutes,Firmicutes,0.4125490196078432
797,9,43,Firmicutes,Firmicutes,0.4126547455295736
1211,14,17,Actinobacteria,Actinobacteria,0.4133644133644133
2343,28,50,Firmicutes,Actinobacteria,0.41394201110425666
4387,66,99,Firmicutes,Firmicutes,0.41420830824804333
3138,40,59,Firmicutes,Firmicutes,0.41436100131752307
4009,57,63,Firmicutes,Firmicutes,0.4144329896907216
1743,20,54,Proteobacteria,Proteobacteria,0.41488486842105265
2681,33,43,Firmicutes,Firmicutes,0.4149432955303536
707,8,44,Firmicutes,Firmicutes,0.4151096669374492
2249,27,28,Firmicutes,Firmicutes,0.41529051987767585
1728,20,39,Proteobacteria,Proteobacteria,0.41530296329057936
1854,21,86,Proteobacteria,Bacteroidetes,0.41536683997689194
3310,43,57,Firmicutes,Firmicutes,0.4157754010695187
2278,27,57,Firmicutes,Firmicutes,0.41583577712609976
3255,42,59,Firmicutes,Firmicutes,0.415929203539823
4353,65,99,Firmicutes,Firmicutes,0.4160144491270319
1486,17,40,Actinobacteria,Firmicutes,0.41633466135458164
2948,37,52,Bacteroidetes,Proteobacteria,0.4165421026407573
1102,12,81,Bacteroidetes,Bacteroidetes,0.4170648464163823
913,10,69,Firmicutes,Actinobacteria,0.417184265010352
1940,22,94,Firmicutes,Firmicutes,0.417462482946794
2737,33,99,Firmicutes,Firmicutes,0.41765810895428934
3352,43,99,Firmicutes,Firmicutes,0.4179202092871157
2329,28,36,Firmicutes,Actinobacteria,0.41840161182001345
4005,57,59,Firmicutes,Firmicutes,0.4186202277294039
4415,67,94,Firmicutes,Firmicutes,0.4187223276407337
